conversation,label
"Hey u need cash? Job overseas, I’ll pay ur way | What’s the job? | Easy work, details when u land",1
"U got here, nice! U owe me for the ticket tho | How much? | Don’t worry, we’ll figure it out, keep it quiet",1
"Yo, big chance to make money, u in? | Doing what? | Good gig, trust me, tell u more later",1
"Job starts soon, pack light, no one needs to know | My parents? | Nah, just us, safer that way",1
"Hey babe, easy money gig, u down? | What’s the catch? | No catch, just don’t ask til ur here",1
"Travel with me, I got a spot for u | Where? | Somewhere nice, I’ll handle it",1
"Quick cash, leave tomorrow, u ready? | What’s the plan? | Simple job, don’t tell anyone",1
"Got a hookup for work, u wanna go? | What’s it pay? | Tons, details when we get there",1
"Hey, need a girl for a gig, pays big | Like what? | Fun stuff, trust me, leave soon",1
"U owe me for the ride, stay low | I didn’t ask for this | Too late, don’t talk to cops",1
"Job abroad, I’ll front the flight | Legit? | Yeah, just keep it between us",1
"Work opp, leave tonight, u in? | Where to? | Good place, I’ll tell u on the way",1
"Hey cutie, wanna make bank? I got u | How? | Easy gig, no questions til later",1
"Need someone for a job, u free? | What’s it about? | Quick cash, I’ll explain when u arrive",1
"Yo, travel gig, pays sweet | Where we going? | Nice spot, details later",1
"Hey, got a hustle for u, u down? | What’s the deal? | Big money, don’t tell fam",1
"U owe me now, got u a place | For what? | The trip, stay quiet about it",1
"Job waiting, leave soon, u in? | What job? | Good one, trust me, pack fast",1
"Hey, cash opp, u wanna roll? | Tell me more | Easy work, I’ll fill u in later",1
"Got a spot for u, travel tomorrow | Where? | Somewhere good, don’t ask yet",1
"Quick gig, big pay, u ready? | What’s the catch? | None, just keep it hush",1
"Hey babe, work for me, pays nice | Doing what? | Simple stuff, details when u get here",1
"Need u for a job, leave tonight | Where to? | Far, I’ll cover it, no questions",1
"Yo, money to be made, u in? | How? | Easy gig, don’t tell anyone",1
"Travel job, I got u covered | Legit? | Yeah, just us, no one else",1
"Hey, quick cash, u wanna go? | Where? | Nice place, I’ll tell u later",1
"Work for me, big payout | What’s the work? | Fun stuff, trust me, leave soon",1
"U owe me for the setup, stay low | Setup? | Yeah, don’t talk about it",1
"Job opp, pack now, u ready? | What’s it pay? | Lots, details when u land",1
"Hey, gig abroad, I’ll pay up | What’s the job? | Easy, keep it quiet",1
"Need a hand, pays good, u in? | For what? | Quick job, I’ll tell u there",1
"Yo, cash flow gig, u down? | Tell me more | Sweet deal, no questions yet",1
"Travel with me, job waiting | Where? | Good spot, trust me",1
"Hey babe, money gig, u free? | What’s it about? | Easy cash, details later",1
"Work starts soon, leave tonight | Where to? | Far, I’ll handle it, don’t tell",1
"Hey, u free this weekend? | Yup, u? | Let’s hit the mall, new store opened",0
"Yo, my boss needs help, u want in? | What’s the job? | Clerk gig, $12/hr, starts Monday",0
"Game tonight, u watching? | Hell yeah | Sweet, that last play was wild",0
"Road trip soon, u down? | Where we going? | Lake, 3 hrs, bring snacks",0
"Hey, how’s ur day going? | Good, u? | Chill, just got off work",0
"Found a part-time thing, u interested? | Tell me more | Cafe job, $10/hr, flexible",0
"U see that movie yet? | Not yet | It’s dope, let’s catch it tomorrow",0
"Hey babe, miss u | Miss u too | Dinner soon? I’m buying",0
"Yo, u still job hunting? | Yeah | My sis says her shop’s hiring, legit",0
"Party this Friday, u coming? | Who’s there? | Usual crew, bring a drink",0
"Got a gig lined up, u want? | What is it? | Delivery, $15/hr, starts next week",0
"Hey, u busy later? | Nah, why? | Wanna chill, maybe grab pizza",0
"Yo, u free tomorrow? | Yeah | Cool, let’s hit the park",0
"My cuz needs a worker, u in? | What’s the pay? | $14/hr, warehouse gig",0
"Hey, u watch that show yet? | Not yet | It’s fire, u gotta see it",0
"Trip next week, u down? | Where to? | Mountains, 4 hrs, chill vibes",0
"Hey, how u holding up? | Good, u? | Same, let’s catch up soon",0
"Job at the store, u want it? | Tell me more | Cashier, $11/hr, easy",0
"U free this afternoon? | Yup | Sweet, let’s grab coffee",0
"Yo, game on tonight, u in? | For sure | Dope, see u at 7",0
"Hey babe, u around later? | Yeah, why? | Wanna hang, miss ur face",0
"Part-time gig, u interested? | What’s it about? | Tutor gig, $20/hr, remote",0
U see that new spot downtown? | Not yet | Let’s check it out Saturday,0
"Yo, my bro’s hiring, u down? | What’s the job? | Cook, $13/hr, chill place",0
"Hey, u free this week? | Most days | Cool, let’s plan something",0
"Movie night soon, u in? | What’s playing? | New action flick, my treat",0
"Job opp at the gym, u want? | Tell me more | Front desk, $12/hr, flexible",0
"Hey, u around tomorrow? | Yeah | Nice, let’s hit the arcade",0
"Yo, u still looking for work? | Yup | My friend’s shop needs help, $15/hr",0
"Chill sesh this weekend, u down? | Where at? | My place, bring snacks",0
"Hey babe, how’s ur week? | Good, u? | Same, dinner Friday?",0
"U catch that game last night? | Yeah, wild | Right? That shot tho",0
"Quick gig, u interested? | What’s it pay? | $10/hr, retail, starts soon",0
"Hey, u free tonight? | Yup | Sweet, let’s grab drinks",0
"Got a job lined up, u wanna go? | What’s it like? | Pays big, details when u get here",1
"Hey, travel gig, quick cash | Where to? | Nice place, I’ll tell u later",1
"Yo, work for me, leave tonight | What’s the pay? | Good money, don’t ask yet",1
"Need u for a gig, u free? | Doing what? | Easy stuff, trust me, pack fast",1
"Hey babe, cash opp, u in? | Tell me more | Simple job, no questions til later",1
"Job abroad, I’ll cover u | Legit? | Yeah, keep it quiet",1
"Quick gig, big payout, u down? | What’s the catch? | None, just don’t tell",1
"Hey, work waiting, leave soon | Where? | Good spot, I’ll handle it",1
"Yo, money to make, u ready? | How? | Easy gig, details later",1
"U owe me for the trip, stay low | For what? | Getting u here, no cops",1
"Travel job, pays sweet, u in? | Where we going? | Somewhere nice, trust me",1
"Hey, need a hand, pays big | For what? | Fun work, leave tomorrow",1
"Job opp, pack now, u free? | What’s it about? | Quick cash, I’ll tell u there",1
"Yo, cash flow gig, u down? | Tell me more | Sweet deal, no questions yet",1
"Hey babe, gig abroad, u in? | What’s the job? | Easy, keep it hush",1
"Hey, u free this Saturday? | Yeah, u? | Let’s hit the beach, bring a towel",0
"Yo, my friend’s hiring, u want? | What’s the gig? | Barista, $12/hr, chill vibe",0
"Game tomorrow, u watching? | Yup | Cool, that team’s on fire",0
"Road trip next month, u down? | Where to? | Hills, 5 hrs, scenic af",0
"Hey, u busy this evening? | Nah | Sweet, let’s grab some chaat",0
"Part-time job, u interested? | Tell me more | Data entry, $10/hr, remote",0
"U see that new series? | Not yet | It’s wild, u gotta watch",0
"Hey babe, how’s ur day? | Good, u? | Same, dinner this weekend?",0
"Yo, u still looking for work? | Yeah | My uncle’s shop needs help, $13/hr",0
"Party next week, u coming? | Who’s hosting? | Ravi, bring snacks",0
"Got a gig, u want in? | What is it? | Delivery, $14/hr, flexible",0
"Hey, u free tomorrow night? | Yup | Nice, let’s hit the movies",0
"Yo, my sis needs a worker, u down? | What’s the pay? | $15/hr, retail gig",0
"Hey, u catch that match? | Yeah, insane | Right? That goal tho",0
"Chill day soon, u in? | Where at? | Park, bring a frisbee",0
"Got a job lined up, u wanna go? | What’s it like? | Pays big, details when u get here",1
"Hey, travel gig, quick cash | Where to? | Nice place, I’ll tell u later",1
"Yo, work for me, leave tonight | What’s the pay? | Good money, don’t ask yet",1
"Need u for a gig, u free? | Doing what? | Easy stuff, trust me, pack fast",1
"Hey babe, cash opp, u in? | Tell me more | Simple job, no questions til later",1
"Job abroad, I’ll cover u | Legit? | Yeah, keep it quiet",1
"Quick gig, big payout, u down? | What’s the catch? | None, just don’t tell",1
"Hey, work waiting, leave soon | Where? | Good spot, I’ll handle it",1
"Yo, money to make, u ready? | How? | Easy gig, details later",1
"U owe me for the trip, stay low | For what? | Getting u here, no cops",1
"Travel job, pays sweet, u in? | Where we going? | Somewhere nice, trust me",1
"Hey, need a hand, pays big | For what? | Fun work, leave tomorrow",1
"Job opp, pack now, u free? | What’s it about? | Quick cash, I’ll tell u there",1
"Yo, cash flow gig, u down? | Tell me more | Sweet deal, no questions yet",1
"Hey babe, gig abroad, u in? | What’s the job? | Easy, keep it hush",1
"Hey, u free this Saturday? | Yeah, u? | Let’s hit the beach, bring a towel",0
"Yo, my friend’s hiring, u want? | What’s the gig? | Barista, $12/hr, chill vibe",0
"Game tomorrow, u watching? | Yup | Cool, that team’s on fire",0
"Road trip next month, u down? | Where to? | Hills, 5 hrs, scenic af",0
"Hey, u busy this evening? | Nah | Sweet, let’s grab some chaat",0
"Part-time job, u interested? | Tell me more | Data entry, $10/hr, remote",0
"U see that new series? | Not yet | It’s wild, u gotta watch",0
"Hey babe, how’s ur day? | Good, u? | Same, dinner this weekend?",0
"Yo, u still looking for work? | Yeah | My uncle’s shop needs help, $13/hr",0
"Party next week, u coming? | Who’s hosting? | Ravi, bring snacks",0
"Got a gig, u want in? | What is it? | Delivery, $14/hr, flexible",0
"Hey, u free tomorrow night? | Yup | Nice, let’s hit the movies",0
"Yo, my sis needs a worker, u down? | What’s the pay? | $15/hr, retail gig",0
"Hey, u catch that match? | Yeah, insane | Right? That goal tho",0
"Chill day soon, u in? | Where at? | Park, bring a frisbee",0
"Hey, job opp abroad, u in? | What’s it pay? | Big cash, details when u arrive",1
"Yo, quick work, leave now | Where? | Good spot, trust me, no questions",1
"Need a helper, pays huge | Doing what? | Easy gig, pack tonight",1
"Hey babe, travel job, u down? | Tell me more | Sweet deal, keep it quiet",1
"Got a hustle, u ready? | What’s the catch? | None, just don’t tell anyone",1
"Work abroad, I’ll pay flight | Legit? | Yeah, stay low til u get here",1
"Hey, cash gig, leave soon | Where to? | Nice place, I’ll fill u in later",1
"Yo, big money job, u in? | What’s it about? | Simple stuff, details later",1
"U owe me for the ride, keep quiet | Why? | Got u here, no cops",1
"Travel opp, pays big, u free? | Where we going? | Somewhere good, trust me",1
"Hey, need u for work, u down? | For what? | Fun job, leave tomorrow",1
"Job waiting, pack fast, u in? | What’s it pay? | Lots, I’ll tell u there",1
"Yo, cash flow gig, u ready? | Tell me more | Easy money, no questions yet",1
"Hey babe, gig overseas, u in? | What’s the job? | Quick cash, keep it hush",1
"Work starts tonight, u free? | Where? | Far, I’ll cover it, don’t tell",1
"Need a hand, pays sweet | Doing what? | Simple work, leave soon",1
"Yo, job abroad, u down? | What’s it like? | Big payout, details later",1
"U owe me for the trip, stay low | For what? | Getting u here, stay quiet",1
"Hey, quick gig, u in? | Tell me more | Easy cash, I’ll tell u when u land",1
"Travel job, I got u, u ready? | Legit? | Yeah, just us, no one else",1
"Work opp, leave now, u down? | Where to? | Good place, I’ll tell u on the way",1
"Hey babe, money gig, u free? | What’s it about? | Fun stuff, details later",1
"Yo, cash opp, u wanna go? | What’s the pay? | Tons, trust me, pack fast",1
"Need u for a job, leave tonight | Where? | Nice spot, no questions til later",1
"Job abroad, I’ll front it, u in? | What’s it about? | Easy work, keep it quiet",1
"Hey, u free this Sunday? | Yeah, u? | Let’s chill at the lake, bring snacks",0
"Yo, my cousin’s hiring, u want? | What’s the job? | Cashier, $11/hr, easy shifts",0
"Movie tonight, u in? | What’s playing? | New comedy, my treat",0
"Road trip soon, u down? | Where to? | Coast, 4 hrs, chill vibes",0
"Hey, u busy tomorrow? | Nah | Cool, let’s grab some dosa",0
"Part-time gig, u interested? | Tell me more | Online support, $12/hr, flexible",0
"U see that new game? | Not yet | It’s dope, let’s play this weekend",0
"Hey babe, how’s ur week? | Good, u? | Same, coffee date soon?",0
"Yo, u still job hunting? | Yeah | My bro’s cafe needs help, $14/hr",0
"Party this weekend, u coming? | Who’s there? | Usual gang, bring a drink",0
"Got a job opp, u want? | What is it? | Warehouse, $13/hr, starts Monday",0
"Hey, u free Friday night? | Yup | Sweet, let’s hit the arcade",0
"Yo, my friend needs help, u in? | What’s the pay? | $15/hr, retail gig",0
"Hey, u watch that match? | Yeah, wild | Right? That play tho",0
"Chill sesh soon, u down? | Where at? | My crib, bring chips",0
"Job at the mall, u want? | Tell me more | Sales, $10/hr, flexible",0
"Yo, u free this week? | Most days | Nice, let’s plan a hangout",0
"Hey babe, u around later? | Yeah | Cool, let’s grab ice cream",0
"Part-time work, u interested? | What’s it about? | Tutoring, $18/hr, remote",0
U see that new spot? | Not yet | Let’s check it out Sunday,0
"Yo, my sis’s shop hiring, u down? | What’s the job? | Cook, $12/hr, chill place",0
"Hey, u free tomorrow? | Yeah | Sweet, let’s hit the park",0
"Movie night soon, u in? | What’s on? | Action flick, I’m buying",0
"Job opp at the gym, u want? | Tell me more | Reception, $11/hr, easy",0
"Hey, u catch that game? | Yup | Insane finish, right = true joy",0
"U owe me big, got u here | How much? | Don’t ask, stay quiet or else",1
"Hey, job gig, u owe me after | For what? | The ride, no cops allowed",1
"Yo, work for me, u owe me now | Why? | I paid ur way, keep it hush",1
"Need u abroad, u owe me | What’s the job? | Easy cash, don’t tell anyone",1
"Hey babe, trip’s on me, u owe | Owe what? | Just stay low, no questions",1
"Got u a job, u owe me big | For what? | Travel, don’t talk to fam",1
"U owe me for this gig, stay quiet | Why? | I set it up, no cops",1
"Hey, work opp, u owe me after | How much? | Details later, keep it secret",1
"Yo, travel job, u owe me | What’s it about? | Quick money, don’t tell",1
"U owe me for the flight, stay low | I didn’t ask | Too bad, no police",1
"Hey, gig abroad, u owe me | For what? | Getting u there, stay silent",1
"Work for me, u owe me now | Why? | I covered u, don’t ask yet",1
"Yo, cash job, u owe me | What’s the pay? | Big, keep it between us",1
"U owe me for the ride, no talking | To who? | Anyone, stay quiet",1
"Hey babe, job gig, u owe me | Owe what? | The trip, don’t tell cops",1
"Got u a place, u owe me | For what? | Travel, stay low key",1
"Yo, work abroad, u owe me | What’s it like? | Easy, no questions til later",1
"U owe me for this, pack now | Why? | I paid, don’t tell anyone",1
"Hey, job opp, u owe me after | How much? | Lots, keep it hush",1
"Travel gig, u owe me, u in? | What’s the job? | Simple, stay quiet",1
"Yo, cash gig, u owe me | What’s the job? | Easy money, no cops allowed",1
"Hey, travel opp, u owe me | For what? | I paid ur way, stay quiet",1
"Work for me, u owe me big | Why? | Got u here, don’t tell anyone",1
"U owe me for the flight, pack now | What’s it about? | Quick cash, no questions",1
"Hey babe, job gig, u owe me | Owe what? | The ride, stay low",1
"Got u abroad, u owe me | For what? | Travel, don’t talk to cops",1
"Yo, work opp, u owe me | What’s the pay? | Big, keep it hush",1
"U owe me for this, leave tonight | Why? | I set it up, no fam",1
"Hey, cash job, u owe me | Tell me more | Easy work, stay silent",1
"Travel gig, u owe me, u in? | Legit? | Yeah, don’t tell anyone",1
"Hey, job at the store, u want? | What’s it pay? | $12/hr, cashier, starts next week",0
"Yo, my bro needs help, u in? | What’s the gig? | Delivery, $14/hr, flexible hours",0
"Part-time opp, u interested? | Tell me more | Office assistant, $11/hr, chill",0
"Hey babe, u free this weekend? | Yeah | Let’s grab coffee, my treat",0
"Yo, warehouse job, u down? | What’s it like? | $13/hr, lifting boxes, legit",0
"Got a gig at the cafe, u want? | Tell me more | Barista, $10/hr, fun team",0
"Hey, u looking for work? | Yup | Retail gig, $15/hr, starts Monday",0
"Yo, my sis hiring, u in? | What’s the pay? | $12/hr, shop assistant, easy",0
"Hey, u free tomorrow? | Yeah | Cool, let’s hit the mall, new sale",0
"Part-time job, u want? | What’s it about? | Data entry, $13/hr, remote work",0
